"host_state";"host";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending";"sitealias"
"UP";"3BB";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"192.168.105.78";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"192.168.105.79";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"192.168.105.80";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"192.168.105.81";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"192.168.105.82";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"aeris.psu.ac.th";"NOT_CSV_EXPORTABLE";"2";"0";"0";"0";"0";"PSU HDY"
"UP";"Airwave_Management_Software_for_Aruba_R2000";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"apollo.psu.ac.th";"NOT_CSV_EXPORTABLE";"25";"0";"0";"3";"0";"PSU HDY"
"UP";"Argus";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"aries";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Aruba-Controller";"NOT_CSV_EXPORTABLE";"497";"0";"3";"11";"0";"PSU HDY"
"UP";"Aruba-controller2";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Aruba-controller3";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Aruba-controller4";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"athena";"NOT_CSV_EXPORTABLE";"64";"0";"0";"0";"0";"PSU HDY"
"UP";"Aurora";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Auth";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Auth2";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"authentik-db";"NOT_CSV_EXPORTABLE";"24";"2";"1";"0";"0";"PSU HDY"
"DOWN";"authentik-worker";"NOT_CSV_EXPORTABLE";"21";"2";"1";"2";"0";"PSU HDY"
"UP";"cancer";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"checkmk.psu.ac.th";"NOT_CSV_EXPORTABLE";"17";"0";"0";"0";"0";"PSU HDY"
"UP";"Cisco_CMX";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Cisco_ISE";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Cisco_Prime";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"clog";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"coe-gw";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"cs-gw";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"CSW";"NOT_CSV_EXPORTABLE";"75";"0";"0";"0";"0";"PSU HDY"
"UP";"dc1.psu.ac.th";"NOT_CSV_EXPORTABLE";"2";"0";"0";"0";"0";"PSU HDY"
